31471,140401
31472,117685
31473,71845
31474,60641
31475,111544
31476,68133
31477,97833
31478,89778
31479,77563
31480,112349
31481,120410
31482,53204
31483,122828
31484,55167
31485,102593
31486,53031
31487,118622
31488,548437
31489,97451
31490,46460
31491,125080
31492,121539
31493,105292
31494,125347
31495,135696
31496,270886
31497,204235
31498,86018
31499,63093
31500,116128
31501,156096
31502,95966
31503,63839
31504,117491
31505,128638
31506,289651
31507,253723
31508,67627
31509,404000
31510,191900
31511,122315
31512,82782
31513,62957
31514,53772
31515,92977
31516,100955
31517,139336
31518,215203
31519,217325
31520,108479
31521,94408
31522,159916
31523,118822
31524,64353
31525,131979
31526,89025
31527,58006
31528,65337
31529,123329
31530,72911
31531,43898
31532,106467
31533,97355
31534,92286
31535,91869
31536,95930
31537,100600
31538,176471
31539,166151
31540,183106
31541,132512
31542,128152
31543,82999
31544,72062
31545,61416
31546,82308
31547,98116
31548,84488
31549,66515
31550,50315
31551,63124
31552,72583
31553,113169
31554,135800
31555,88736
31556,61117
31557,61659
31558,68695
31559,61955
31560,120662
31561,245460
31562,56359
31563,137344
31564,73022
31565,120298
31566,139802
31567,104862
31568,101179
31569,58997
31570,83401
31571,106467
31572,92321
31573,91267
31574,136988
31575,71682
31576,161949
31577,121787
31578,112656
31579,125998
31580,222174
31581,160366
31582,78185
31583,176378
31584,92389
31585,214586
31586,74072
31587,80275
31588,89875
31589,127703
31590,136008
31591,88471
31592,82577
31593,101745
31594,117152
31595,258709
31596,119189
31597,118135
31598,90506
31599,56651
31600,109474
31601,155644
31602,104162
31603,193720
31604,109115
31605,136936
31606,81708
31607,105199
31608,117553
31609,126099
31610,56038
31611,72760
31612,96094
31613,64204
31614,68121
31615,167394
31616,108093
31617,92279
31618,85677
31619,141698
31620,166527
31621,100276
31622,101746
31623,90341
31624,98961
31625,76090
31626,108968
31627,102143
31628,107642
31629,82891
31630,199615
31631,126599
31632,90475
31633,104345
31634,72263
31635,139253
31636,77775
31637,121738
31638,105011
31639,80169
31640,59945
31641,259197
31642,105995
31643,69612
31644,163340
31645,61537
31646,122719
31647,92028
31648,77602
31649,63848
31650,60593
31651,53497
31652,89134
31653,109259
31654,68189
31655,176233
31656,83097
31657,125986
